PRODUTO;Coleção;Preço;Corredor;Prateleira;QTDE_CONTAGEM;U;33;34;35;36;37;38;39;40;DESC_PRODUTO;GRUPO_PRODUTO;SUBGRUPO_PRODUTO;DESC_COR_PRODUTO
15909;;;;;5;5;0;0;0;0;0;0;0;0;PALMILHAS PROTETORES E OUTROS SEGURANCA ;ACESSORIOS               ;PALMILHA-PROTETOR-OUTROS ;
15914;;;;;9;9;0;0;0;0;0;0;0;0;LIQUIDOS CUIDADOS E OUTROS AMACIANTE U P;ACESSORIOS               ;LIQUIDOS-CUIDADOS-OUTROS ;U                                       
17629;;;;;4;1;0;0;3;0;0;0;0;0;PALMILHAS PROTETORES E OUTROS SEGURANCA ;ACESSORIOS               ;PALMILHA-PROTETOR-OUTROS ;U                                       
17698;;;;;2;2;0;0;0;0;0;0;0;0;PALMILHAS PROTETORES E OUTROS PALMILHA U;ACESSORIOS               ;PALMILHA-PROTETOR-OUTROS ;U                                       
25460;;;;;3;3;0;0;0;0;0;0;0;0;LIQUIDOS CUIDADOS E OUTROS LIMPADOR DE C;ACESSORIOS               ;LIQUIDOS-CUIDADOS-OUTROS ;U                                       
34454;;;;;5;5;0;0;0;0;0;0;0;0;ESPUMA LIMPADORA PALTERM 5326           ;ACESSORIOS               ;LIQUIDOS-CUIDADOS-OUTROS ;U                                       
34456;;;;;6;6;0;0;0;0;0;0;0;0;MAQUIAGEM PARA PERNAS PALTERM 5782      ;ACESSORIOS               ;LIQUIDOS-CUIDADOS-OUTROS ;BEGE ESCURO                             
36133;;;;;4;3;0;1;0;0;0;0;0;0;ACESSORIOS OUTROS ALGODAO MEIA INVISIVEL;ACESSORIOS               ;ACESSORIOS OUTROS        ;PRETA                                   
37221;;;;;1;0;0;0;0;0;1;0;0;0;SANDALIA MEIA PATA JOSY NOBUCK BEBECE 50;CALCADOS                 ;SANDALIA MEIA PATA       ;PRETA                                   
37221;;;;;13;0;0;3;1;0;2;4;3;0;SANDALIA MEIA PATA JOSY NOBUCK BEBECE 50;CALCADOS                 ;SANDALIA MEIA PATA       ;CAMEL                                   
37557;;;;;1;0;0;0;0;0;0;0;0;1;SCARPIN NAPA BEBECE 7060288             ;CALCADOS                 ;SCARPIN                  ;PRETA                                   
37572;;;;;1;1;0;0;0;0;0;0;0;0;CINTO COURO SOLETA 413 PORTO GIOIA      ;ACESSORIOS               ;CINTO                    ;OLIVE                                   
37691;;;;;5;1;0;0;2;2;0;0;0;0;TENIS HERICA NAPA THEORIA 080           ;CALCADOS                 ;TENIS                    ;PRETA                                   
37691;;;;;1;1;0;0;0;0;0;0;0;0;TENIS HERICA NAPA THEORIA 080           ;CALCADOS                 ;TENIS                    ;BRANCO OLIVE                            
37691;;;;;8;3;0;5;0;0;0;0;0;0;TENIS HERICA NAPA THEORIA 080           ;CALCADOS                 ;TENIS                    ;BRANCO BISCUIT                          
37691;;;;;10;4;0;4;2;0;0;0;0;0;TENIS HERICA NAPA THEORIA 080           ;CALCADOS                 ;TENIS                    ;BRANCO COTTON                           
38176;;;;;1;0;0;0;0;1;0;0;0;0;RASTEIRA BIANCA TRASEIRO NOBUCK VIA FASH;CALCADOS                 ;RASTEIRA TRASEIRO        ;PRETA                                   
38236;;;;;10;3;0;2;0;2;0;3;0;0;TENIS LONA THEORIA 2611                 ;CALCADOS                 ;TENIS                    ;PRETA                                   
38236;;;;;12;0;0;3;4;2;0;3;0;0;TENIS LONA THEORIA 2611                 ;CALCADOS                 ;TENIS                    ;MILK                                    
38236;;;;;1;0;0;1;0;0;0;0;0;0;TENIS LONA THEORIA 2611                 ;CALCADOS                 ;TENIS                    ;BISCUIT                                 
38255;;;;;1;0;0;0;0;0;0;0;0;1;RASTEIRA CHINELO NAPA QUASA RR119       ;CALCADOS                 ;RASTEIRA CHINELO         ;MARFIM                                  
38255;;;;;50;3;0;6;13;8;7;7;4;2;RASTEIRA CHINELO NAPA QUASA RR119       ;CALCADOS                 ;RASTEIRA CHINELO         ;MARFIM OURO                             
38255;;;;;45;0;0;4;8;19;6;3;5;0;RASTEIRA CHINELO NAPA QUASA RR119       ;CALCADOS                 ;RASTEIRA CHINELO         ;MARFIM CRISTAL                          
38416;;;;;2;2;0;0;0;0;0;0;0;0;PORTA NIQUEL NAPA TRESSE YEGGUS CA2159  ;ACESSORIOS               ;PORTA NIQUEL             ;PRETA                                   
